,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
price (index),1.0000000000000007,1.2245033825033922,1.4596039671302237,1.709505926496355,1.9809285099021647,2.281345940186562,2.552911387688848,2.8434892031884655,3.15541369676155,3.49128324881457,3.854030042695103
tax (index),0.3949251014090392,0.5311738976756244,0.6769461824744717,0.8328244215408114,1.0023607652641409,1.1947961559091127,1.3704227382709016,1.5582000641064517,1.759693537947018,1.9766295032698065,2.2109439488183646
prevalence,0.20694500293223125,0.20077373026546233,0.1948035180109444,0.18902725089972147,0.18343808727866232,0.17802944761050302,0.17279500350627658,0.16772866726286734,0.16282458187995696,0.15807711153207632,0.15348083247283914
