type,2008,2010,2012,2014,2016
cigarette sales,2093581,1983177,1654002,1347888,1300929
roll-your-own tobacco sales (cigarette sticks equivalent),341648.571428571,413522.857142857,499355.714285714,244652.857142857,220114.285714286
