Region,Percent (%),,
AFRO,14.893617021276595,,
AMRO,51.42857142857142,,
SEAR,18.181818181818183,,
EURO,24.528301886792452,,
EMRO,27.27272727272727,,
WPRO,33.33333333333333,,
