Country,ISO3,Year,Lowest,Low,Middle,High,Highest
Uruguay ,UGY,2009,1816.8239999999998,1322.6505,1206.763,987.6899999999999,852.7860000000001
Poland ,POL,2009,1673.379,1961.5829999999996,1809.3780000000002,1675.4959999999999,1456.4595000000002
Thailand ,THA,2009,1197.5285,1048.5720000000001,1053.5725,723.503,492.75000000000006
Philippines ,PHL,2009,1135.5149999999999,1088.2475000000002,968.5274999999999,800.445,520.344
Brazil ,BRA,2009,833.4410000000001,800.2259999999999,754.2359999999999,659.5550000000001,559.91
Egypt ,EGY,2009,813.1469999999999,996.45,1073.1,1030.03,729.7080000000001
