COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,2016 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2016 price key,2014 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2014 price key,2012 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2012 price key,2010 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2010 price key,2008 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2008 price key,2016 total excise tax as a % of price of the most sold brand,2016 tax key,2014 total excise tax as a % of price of the most sold brand,2014 tax key,2012 total excise tax as a % of price of the most sold brand,2012 tax key,2010 total excise tax as a % of price of the most sold brand,2010 tax key,2008 total excise tax as a % of price of the most sold brand,2008 tax key,2016 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2016 afford key,2014 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2014 afford key,2012 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2012 afford key,2010 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2010 afford key,2008 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2008 afford key
Jamaica,JAM,PAHO,MIDDLE,0.73,14.3,6,12.55,6,11.67,6,11.14,6,9.26,5,0.2827,3,0.2625,3,0.3182,4,0.3621,4,0.2963,3,0.1602,5,0.1452,5,0.1391,5,0.1379,5,0.1104,5
Jordan,JOR,EMRO,MIDDLE,0.742,4.31,3,3.77,2,3.65,2,3.38,2,3.31,2,0.6729,6,0.695,6,0.6273,6,0.6578999999999999,6,0.6105,6,0.0356,3,0.0315,2,0.032,2,0.031,2,0.0319,2
Japan,JPN,WPRO,HIGH,0.903,4.3,3,4.21,3,3.92,2,2.68,2,2.56,2,0.5565,5,0.5695,5,0.5973,5,0.5829,5,0.5829,5,0.0104,1,0.0106,1,0.0106,1,0.0077,1,0.0074,1
Kazakhstan,KAZ,EURO,MIDDLE,0.794,2.96,2,2.31,2,1.58,1,1.53,1,1.69,1,0.3448,4,0.2857,3,0.1923,3,0.16,3,0.0889,2,0.0114,1,0.0092,1,0.0071,1,0.0075,1,0.0088,1
Kenya,KEN,AFRO,MIDDLE,0.555,2.82,2,2.47,2,2.44,2,3.16,2,2.83,2,0.3846,4,0.35,4,0.35,4,0.5,5,0.625,6,0.0845,5,0.0797,5,0.086,5,0.1215,5,0.1182,5
Kyrgyzstan,KGZ,EURO,MIDDLE,0.664,2.6,2,1.69,1,1.26,1,1.55,1,1.67,1,0.2727,3,0.24,3,0.1583,2,0.0791,2,0.1545,2,0.0733,4,0.0515,3,0.0438,3,0.0572,4,0.0626,4
Cambodia,KHM,WPRO,MIDDLE,0.563,1.44,1,1.34,1,1.27,1,,,,,0.1611,3,0.1315,2,0.0803,2,0.0803,2,0.0803,2,0.0384,3,0.0407,3,0.0446,3,0.0427,3,0.0409,3
Kiribati,KIR,WPRO,MIDDLE,0.588,5.69,3,4.5,3,4.56,3,6.02,4,6.03,4,0.35,4,0.4375,4,0,1,0,1,0,1,0.3107,5,0.2594,5,0.2834,5,0.3947,5,0.3809,5
St. Kitts and Nevis,KNA,PAHO,HIGH,0.765,4.43,3,4.4,3,4.32,3,3.79,2,2.91,2,0.0403,2,0.0403,2,0.0418,2,0.0501,2,0.0652,2,0.0185,2,0.0192,2,0.021,2,0.0179,2,0.0128,1
Rep. Korea,KOR,WPRO,HIGH,0.901,5.38,3,3.01,2,2.95,2,2.91,2,3.05,2,0.6476,6,0.529,5,0.529,5,0.529,5,0.529,5,0.0141,1,0.0085,1,0.0091,1,0.0098,1,0.0111,1
Kuwait,KWT,EMRO,HIGH,0.8,6.76,4,4.6,3,3.63,2,3.09,2,2.8,2,0,1,0,1,0,1,0,1,0,1,0.0095,1,0.0065,1,0.005,1,0.0051,1,0.0041,1
LAO PDR,LAO,WPRO,MIDDLE,0.586,2.54,2,2.9,2,2.3,2,2.1,2,2.17,2,0.0878,2,0.07680000000000001,2,0.10239999999999999,2,0.0429,2,0.0229,2,0.0445,3,0.0578,4,0.053,3,0.0566,4,0.0664,4
Lebanon,LBN,EMRO,MIDDLE,0.763,3.54,2,3.52,2,3.12,2,2.75,2,2.65,2,0.3093,3,0.3261,4,0.3281,4,0.3658,4,0.3338,4,0.0191,2,0.0195,2,0.0183,2,0.017,2,0.0193,2
Liberia,LBR,AFRO,LOW,0.427,,,,,,,,,,,0.1448,2,0.1432,2,0.1179,2,0.1066,2,0.037,2,,,0.1551,5,0.2135,5,0.2112,5,0.3402,5
Libyan Arab Jamahiriya,LBY,EMRO,MIDDLE,0.716,3.3,2,5.21,3,2.09,2,1.89,1,1.58,1,0,1,0,1,0,1,0,1,0,1,0.0277,2,0.0436,3,0.0084,1,0.0065,1,0.0058,1
St. Lucia,LCA,PAHO,MIDDLE,0.735,4.83,3,3.79,2,4.7,3,3.55,2,3.72,2,0.3911,4,0.4855,5,0.2871,3,0.2492,3,0.2825,3,0.042,3,0.0334,2,0.0422,3,0.0321,2,0.0345,2
Sri Lanka,LKA,SEARO,MIDDLE,0.766,19.58,6,12.94,6,12.41,6,10.37,6,9.73,5,0.5143,5,0.5928,5,0.6376000000000001,6,0.6317,6,0.5863,5,0.1749,5,0.1204,5,0.1183,5,0.1209,5,0.1273,5
Lesotho,LSO,AFRO,MIDDLE,0.497,,,8.11,5,8.15,5,7.49,4,6.2,4,,,0.3315,4,0.3225,4,0.3193,4,0.155,2,,,0.2421,5,0.2681,5,0.2803,5,0.263,5
Lithuania,LTU,EURO,HIGH,0.848,6.94,4,5.34,3,4.86,3,4.55,3,2.89,2,0.577,5,0.5840000000000001,5,0.5794,5,0.5973999999999999,5,0.516,5,0.023,2,0.0218,2,0.0221,2,0.0243,2,0.0142,1
Lux. ,LUX,EURO,HIGH,0.898,5.59,3,5.41,3,4.97,3,4.14,3,3.71,2,0.5372,5,0.5524,5,0.5559,5,0.5702,5,0.5706,5,0.0056,1,0.0056,1,0.0055,1,0.0046,1,0.0041,1
Latvia,LVA,EURO,HIGH,0.83,6.1,4,6,4,3.58,2,3.21,2,2.74,2,0.6247,6,0.5952999999999999,5,0.6178,6,0.6411,6,0.5625,5,0.0236,2,0.0254,2,0.0237,2,0.0254,2,0.0188,2
Morocco,MAR,EMRO,MIDDLE,0.647,5.7,3,5.48,3,4.83,3,4.63,3,4.59,3,0.558,5,0.5519000000000001,5,0.5197,5,0.5062,5,0.5062,5,0.0684,4,0.07,4,0.0671,4,0.071,4,0.0761,5
Monaco,MCO,EURO,HIGH,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,
Rep. Moldova,MDA,EURO,MIDDLE,0.699,2.79,2,2.39,2,2.22,2,1.71,1,1.27,1,0.42,4,0.33999999999999997,4,0.2708,3,0.1347,2,0.05,2,0.0528,3,0.0476,3,0.0524,3,0.0446,3,0.034,2
Madagascar,MDG,AFRO,LOW,0.512,4.72,3,3.97,2,2.87,2,3.15,2,2.57,2,0.6376,6,0.6377,6,0.5965,5,0.5965,5,0.5021,5,0.3137,5,0.2744,5,0.2048,5,0.2311,5,0.1735,5
Maldives,MDV,SEARO,MIDDLE,0.701,5.05,3,4.07,3,4.19,3,2.42,2,2.57,2,0,1,0,1,0,1,0,1,0,1,0.0319,2,0.0273,2,0.0316,2,0.0204,2,0.0218,2
Mexico,MEX,PAHO,MIDDLE,0.762,5.67,3,5.62,3,5.14,3,4.03,3,3.99,2,0.5349999999999999,5,0.5381,5,0.5455,5,0.4891,5,0.4813,5,0.0297,2,0.0312,2,0.03,2,0.0258,2,0.0254,2
Marshall Islands,MHL,WPRO,MIDDLE,,2.39,2,1.95,1,3.14,2,2.52,2,2.24,2,0,1,0,1,0,1,0,1,0,1,0.0749,4,0.0628,4,0.1009,5,0.0883,5,0.0858,5
FYR Macedonia,MKD,EURO,MIDDLE,0.748,3.45,2,3.17,2,2.95,2,2.86,2,2.87,2,0.5584,5,0.5733,5,0.5596,5,0.568,5,0.568,5,0.0226,2,0.0235,2,0.0242,2,0.0248,2,0.026,2
Mali,MLI,AFRO,LOW,0.442,3.67,2,3.28,2,3.24,2,3.66,2,3.94,2,0.1118,2,0.0979,2,0.1008,2,0.0714,2,0.0558,2,0.1626,5,0.1554,5,0.1637,5,0.1851,5,0.2106,5
Malta,MLT,EURO,HIGH,0.856,9.23,5,8.56,5,7.51,4,7.18,4,6.74,4,0.6274,6,0.5938,5,0.6167,6,0.61,6,0.6093999999999999,5,0.0233,2,0.0242,2,0.0245,2,0.0251,2,0.0239,2
Myanmar,MMR,SEARO,MIDDLE,0.556,3.05,2,2.61,2,2.73,2,2.99,2,5.37,3,0.3529,4,0.5,5,0.5,5,0.25,3,0.25,3,0.0532,3,0.0512,3,0.0641,4,0.0812,5,0.1625,5
Montenegro,MNE,EURO,MIDDLE,0.807,4.74,3,3.59,2,2.75,2,1.75,1,1.38,1,0.5888,5,0.6192,6,0.6599999999999999,6,0.5038,5,0.3,3,0.0284,2,0.0234,2,0.0195,2,0.0129,1,0.01,1
Mongolia,MNG,WPRO,MIDDLE,0.735,5.19,3,4.25,3,1.34,1,1.68,1,1.01,1,0.2047,3,0.3326,4,0.4027,4,0.406,4,0.3042,3,0.0429,3,0.0355,3,0.0136,1,0.0226,2,0.0141,1
Mozambique,MOZ,AFRO,LOW,0.418,1.8,1,1.75,1,1.5,1,1.26,1,1.01,1,0.1686,3,0.1633,3,0.096,2,0.12,2,0.3367,4,0.1459,5,0.1535,5,0.1485,5,0.1411,5,0.1235,5
Mauritania,MRT,AFRO,MIDDLE,0.513,5.1,3,4.68,3,3.48,2,3.92,2,4.04,3,0.1101,2,0.0826,2,0,1,0,1,0,1,0.1145,5,0.1113,5,0.089,5,0.1098,5,0.1137,5
Mauritius,MUS,AFRO,MIDDLE,0.781,7.86,4,7.62,4,6.5,4,4.79,3,4.14,3,0.5718,5,0.5947,5,0.6019,5,0.5867,5,0.6769,6,0.0383,3,0.0408,3,0.0383,3,0.0313,2,0.0295,2
Malawi,MWI,AFRO,LOW,0.476,,,6.1,4,5.68,3,,,2.61,2,,,0.1453,2,0.2002,3,,,0.3733,4,,,0.548,5,0.5538,5,,,0.2978,5
Malaysia,MYS,WPRO,MIDDLE,0.789,11.82,6,8.36,5,6.91,4,7.08,4,6.09,4,0.4706,5,0.506,5,0.5254,5,0.4754,5,0.49210000000000004,5,0.0438,3,0.0333,2,0.0304,2,0.0348,2,0.0312,2
Namibia,NAM,AFRO,HIGH,0.64,7.3,4,6.9,4,5.71,3,5.88,3,5.45,3,0.3009,3,0.29,3,0.3499,4,0.3317,4,0.2965,3,0.0646,4,0.0642,4,0.0595,4,0.068,4,0.0664,4
Niger,NER,AFRO,LOW,0.353,2.27,2,2.23,2,1.76,1,1.85,1,1.98,1,0.1811,3,0.1111,2,0.1392,2,0.1271,2,0.1083,2,0.2052,5,0.2099,5,0.1817,5,0.2139,5,0.2347,5
Nigeria,NGA,AFRO,MIDDLE,0.527,2.26,2,2.57,2,2.51,2,2.89,2,2.99,2,0.1587,2,0.1587,2,0.1587,2,0.1587,2,0.1587,2,0.0393,3,0.0425,3,0.0454,3,0.0563,4,0.0679,4
Nicaragua,NIC,PAHO,MIDDLE,0.645,4.36,3,3.8,2,3,2,3.39,2,2.82,2,0.2205,3,0.1923,3,0.1607,3,0.161,3,0.0674,2,0.0824,5,0.0766,5,0.0669,4,0.0859,5,0.0714,4
Niue,NIU,WPRO,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,
Netherlands,NLD,EURO,HIGH,0.924,8.33,5,7.77,4,6.86,4,5.96,3,5.55,3,0.5484,5,0.5603999999999999,5,0.5621,5,0.5700000000000001,5,0.577,5,0.0162,2,0.0161,2,0.0148,1,0.0133,1,0.0122,1
Norway,NOR,EURO,HIGH,0.949,12.46,6,10.79,6,9.61,5,9.44,5,8.15,5,0.4604,5,0.4883,5,0.528,5,0.5235,5,0.5268,5,0.0184,2,0.0161,2,0.0149,1,0.0153,2,0.013,1
Nepal,NPL,SEARO,LOW,0.558,5.73,3,4.54,3,3.68,2,3.75,2,3.75,2,0.1484,2,0.1629,3,0.1836,3,0.1718,3,0.1277,2,0.231,5,0.1893,5,0.1711,5,0.1915,5,0.2098,5
Nauru,NRU,WPRO,HIGH,,11.82,6,,,,,3.84,2,4.26,3,0,1,,,,,0,1,0,1,0.1024,5,,,,,0.0885,5,0.0942,5
New Zealand,NZL,WPRO,HIGH,0.915,14.69,6,11.51,6,9.97,5,6.78,4,6.91,4,0.619,6,0.6416,6,0.6098,5,0.6917,6,0.5892,5,0.0393,3,0.0323,2,0.0297,2,0.0217,2,0.0226,2
Oman,OMN,EMRO,HIGH,0.796,7.52,4,4.59,3,4.55,3,3.8,2,2.97,2,0,1,0,1,0,1,0,1,0,1,0.0163,2,0.0107,1,0.01,1,0.0083,1,0.0071,1
Pakistan,PAK,EMRO,MIDDLE,0.55,2.24,2,1.65,1,1.31,1,1.34,1,1.17,1,0.4579,4,0.4617,5,0.4622,5,0.4047,4,0.38689999999999997,4,0.0438,3,0.0348,2,0.0297,2,0.0326,2,0.0286,2
Panama,PAN,PAHO,MIDDLE,0.788,7.17,4,7.06,4,6.52,4,6.19,4,4.02,3,0.4348,4,0.4348,4,0.4348,4,0.4615,5,0.2133,3,0.0311,2,0.0338,2,0.0354,3,0.0412,3,0.0283,2
Peru,PER,PAHO,MIDDLE,0.74,6.63,4,4.02,3,3.41,2,3.05,2,2.86,2,0.3429,4,0.2258,3,0.2692,3,0.3111,4,0.2521,3,0.0502,3,0.0331,2,0.0314,2,0.0318,2,0.0322,2
Philippines,PHL,WPRO,MIDDLE,0.682,2.25,2,1.47,1,0.84,1,0.8,1,0.73,1,0.5185,5,0.6355,6,0.1813,3,0.1771,3,0.1823,3,0.0292,2,0.0212,2,0.0137,1,0.0143,1,0.0143,1
Palau,PLW,WPRO,MIDDLE,0.788,6.28,4,5.15,3,3.82,2,3.95,2,3.83,2,0.7407,6,0.6667,6,0,1,0,1,0,1,0.0416,3,0.0373,3,0.0286,2,0.0348,2,0.0335,2
Papua New Guinea,PNG,WPRO,MIDDLE,0.516,9.81,5,7.33,4,7.27,4,,,4.64,3,0.2778,3,0.2642,3,0.2826,3,,,0.3286,4,0.2756,5,0.2204,5,0.2419,5,,,0.179,5
Poland,POL,EURO,HIGH,0.855,8.37,5,7.66,4,6.33,4,4.41,3,3.32,2,0.5953999999999999,5,0.6159,6,0.6089,5,0.6835,6,0.7581,6,0.0303,2,0.0303,2,0.0271,2,0.0209,2,0.0172,2
DPR Korea,PRK,SEARO,LOW,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,
Portugal,PRT,EURO,HIGH,0.843,7.73,4,7.34,4,6.84,4,5.45,3,5.12,3,0.5485,5,0.5581,5,0.5731999999999999,5,0.6162,6,0.6224000000000001,6,0.0268,2,0.027,2,0.0262,2,0.0206,2,0.0195,2
Paraguay,PRY,PAHO,MIDDLE,0.693,0.83,1,0.64,1,0.65,1,0.61,1,0.5,1,0.0831,2,0.0691,2,0.0816,2,0.0642,2,0.0642,2,0.0088,1,0.0072,1,0.0089,1,0.0086,1,0.0075,1
West Bank/Gaza Strip,PSE,,MIDDLE,,,,,,,,,,,,0.6917,6,0.6953,6,0.6980999999999999,6,0.6499999999999999,6,,,,,0.2077,5,0.1675,5,0.172,5,0.1218,5
Qatar,QAT,EMRO,HIGH,0.856,5.87,3,4.01,3,3.55,2,2.91,2,2.31,2,0,1,0,1,0,1,0,1,0,1,0.0045,1,0.003,1,0.0024,1,0.0022,1,0.0022,1
Romania,ROU,EURO,MIDDLE,0.802,9.37,5,8.59,5,8.13,5,6.29,4,4.47,3,0.5516000000000001,5,0.5606,5,0.5388,5,0.6383,6,0.5640000000000001,5,0.0416,3,0.0433,3,0.0456,3,0.0376,3,0.0256,2
Russian Federation,RUS,EURO,MIDDLE,0.804,4.6,3,3.29,2,2.39,2,2.02,2,1.86,1,0.3581,4,0.32380000000000003,4,0.2523,3,0.1973,3,0.151,2,0.0175,2,0.0121,1,0.0094,1,0.0089,1,0.0081,1
Rwanda,RWA,AFRO,LOW,0.498,1.36,1,2.28,2,2.21,2,2.02,2,2.2,2,0.435,4,0.1742,3,0.1887,3,0.2264,3,0.1812,3,0.0697,4,0.1308,5,0.1402,5,0.1485,5,0.1787,5
Saudi Arabia,SAU,EMRO,HIGH,0.847,8.69,5,5.71,3,4.8,3,4.32,3,3.58,2,0.1667,3,0,1,0,1,0,1,0,1,0.0159,2,0.0108,1,0.0095,1,0.0098,1,0.0079,1
Sudan,SDN,EMRO,MIDDLE,0.49,6.14,4,5.47,3,5.15,3,5.76,3,4.64,3,0.5957,5,0.579,5,0.579,5,0.5891,5,0.5891,5,0.1334,5,0.128,5,0.1253,5,0.1599,5,0.1338,5
Senegal,SEN,AFRO,LOW,0.494,2.27,2,2.25,2,1.68,1,1.73,1,1.69,1,0.225,3,0.2,3,0.15,2,0.15,2,0.1169,2,0.0879,5,0.0959,5,0.0756,5,0.0809,5,0.0817,5
Singapore,SGP,WPRO,HIGH,0.925,15.66,6,15.35,6,13.49,6,12.89,6,13.08,6,0.5969,5,0.5969,5,0.5916,5,0.6069,5,0.6069,5,0.0178,2,0.0182,2,0.0175,2,0.0183,2,0.0206,2
Solomon Islands,SLB,WPRO,MIDDLE,0.515,3.94,2,3.88,2,3.22,2,,,,,0.198,3,0.1915,3,0.2,3,,,,,0.2029,5,0.2027,5,0.1749,5,,,,
Sierra Leone,SLE,AFRO,LOW,0.42,1.44,1,1.95,1,1.4,1,1.18,1,1.47,1,0,1,0,1,0,1,0,1,0,1,0.0846,5,0.0961,5,0.0869,5,0.0897,5,0.1185,5
El Salvador,SLV,PAHO,LOW,0.68,4.12,3,4.07,3,3.91,2,3.6,2,2.87,2,0.4102,4,0.4102,4,0.4143,4,0.43320000000000003,4,0.2997,3,0.046,3,0.0488,3,0.0497,3,0.0494,3,0.0392,3
San Marino,SMR,EURO,HIGH,,6.67,4,6.29,4,6.15,4,5.57,3,,,0.7417,6,0.7417,6,0.7417,6,0.7417,6,,,0.0112,1,0.0109,1,0.0105,1,0.0082,1,,
Somalia,SOM,EMRO,LOW,,,,,,,,,,,,0,1,,,0,1,0,1,0,1,,,,,,,,,,
Serbia ,SRB,EURO,MIDDLE,0.776,5.38,3,4.17,3,2.83,2,2.16,2,2.27,2,0.6105,6,0.6125,6,0.6551,6,0.5985,5,0.468,5,0.0368,3,0.031,2,0.0221,2,0.0178,2,0.0187,2
S. Sudan,SSD,EMRO,LOW,0.418,7.95,4,,,,,,,,,0.2062,3,,,,,,,,,0.5109,5,,,,,,,,
Sao Tome and Principe,STP,AFRO,MIDDLE,0.574,1.79,1,2.01,2,2.25,2,2.54,2,3.11,2,0.1833,3,0.1833,3,0.1833,3,0.1833,3,0.1833,3,0.0535,3,0.0615,4,0.0781,5,0.0976,5,0.1218,5
Suriname,SUR,PAHO,MIDDLE,0.725,5.54,3,4.71,3,4.3,3,3.69,2,3.44,2,0.5598,5,0.484,5,0.514,5,0.4083,4,0.484,5,0.0431,3,0.0287,2,0.028,2,0.0266,2,0.0267,2
Slovakia,SVK,EURO,HIGH,0.845,6.49,4,5.8,3,5.41,3,4.74,3,4,3,0.6139,6,0.6487,6,0.6538,6,0.6732,6,0.6865,6,0.0208,2,0.0203,2,0.0203,2,0.0193,2,0.0165,2
Slovenia,SVN,EURO,HIGH,0.89,5.85,3,5.7,3,4.71,3,3.96,2,3.5,2,0.6051,5,0.6238,6,0.6261,6,0.5920000000000001,5,0.5821,5,0.0182,2,0.019,2,0.0166,2,0.0141,1,0.0117,1
Sweden,SWE,EURO,HIGH,0.913,7.21,4,6.78,4,6.06,4,5.62,3,5.58,3,0.485,5,0.4884,5,0.5383,5,0.516,5,0.5185,5,0.0144,1,0.0146,1,0.0137,1,0.0134,1,0.0134,1
Swaziland,SWZ,AFRO,MIDDLE,0.541,7.26,4,7.73,4,,,7.4,4,8.66,5,0.3678,4,0.3314,4,,,0.3251,4,0.248,3,0.0735,4,0.083,5,,,0.088,5,0.1024,5
Seychelles,SYC,AFRO,HIGH,0.782,14.49,6,10.01,6,10.28,6,11.08,6,11.83,6,0.5771,5,0.6667,6,0.6667,6,0.6757,6,0.7576,6,0.0527,3,0.0398,3,0.0456,3,0.0568,4,0.0627,4
Syrian Arab Rep. ,SYR,EMRO,MIDDLE,0.536,,,,,,,1.47,1,1.5,1,0.4,4,,,0.58,5,0.33,4,0.33,4,,,,,,,0.023,2,0.0252,2
Chad,TCD,AFRO,LOW,0.396,3.72,2,3.02,2,2.01,2,2.12,2,2,2,0.1638,3,0.1386,2,0.0752,2,0.0752,2,0.0752,2,0.1485,5,0.1143,5,0.0848,5,0.0966,5,0.1046,5
Togo,TGO,AFRO,LOW,0.487,2.19,2,1.79,1,1.78,1,1.86,1,1.74,1,0.0661,2,0.0818,2,0.0676,2,0.0623,2,0.0483,2,0.1429,5,0.125,5,0.135,5,0.1545,5,0.1497,5
Thailand,THA,SEARO,MIDDLE,0.74,7.08,4,5.29,3,4.69,3,4.77,3,3.78,2,0.6693,6,0.6658,6,0.6368,6,0.6219,6,0.5724,5,0.0413,3,0.0338,2,0.0319,2,0.0361,3,0.0308,2
Tajikistan,TJK,EURO,MIDDLE,0.627,2.69,2,2.46,2,1.57,1,1.91,1,,,0.0318,2,0.0266,2,0.0343,2,0.0324,2,,,0.0874,5,0.091,5,0.0661,4,0.0925,5,,
Turkmenistan,TKM,EURO,MIDDLE,0.692,14.06,6,7.29,4,5.89,3,2.67,2,,,0.1184,2,0.1223,2,0.1583,2,0.4191,4,0.2364,3,0.082,5,0.0499,3,0.0465,3,0.0266,2,0.0219,2
Timor-Leste,TLS,SEARO,MIDDLE,0.606,2.98,2,1.7,1,1.6,1,2.18,2,1.77,1,0.2533,3,0.304,3,0.304,3,,,,,,,0.1083,5,0.1111,5,0.1414,5,0.1485,5
Tonga,TON,WPRO,MIDDLE,0.721,7.46,4,5.28,3,4.9,3,4.54,3,4.69,3,0.6333,6,0.5882,5,0.5,5,0.5479,5,0.411,4,0.1399,5,0.1071,5,0.1047,5,0.101,5,0.1126,5
Trinidad and Tobago,TTO,PAHO,HIGH,0.78,7.48,4,5.88,3,5.04,3,4.61,3,3.22,2,0.1465,2,0.1657,3,0.1954,3,0.2069,3,0.2364,3,0.0254,2,0.0186,2,0.0158,2,0.015,2,0.0105,1
Tunisia,TUN,EMRO,MIDDLE,0.725,3.67,2,3.94,2,3.69,2,3.28,2,3.1,2,0.6639,6,0.6639,6,0.7012,6,0.7199,6,0.6953,6,0.0318,2,0.0347,2,0.0345,2,0.0318,2,0.0318,2
Turkey,TUR,EURO,MIDDLE,0.767,10.26,6,6.95,4,6.27,4,4.85,3,3.53,2,0.6714,6,0.6688,6,0.65,6,0.63,6,0.58,5,0.0416,3,0.0304,2,0.0313,2,0.0286,2,0.0216,2
Tuvalu,TUV,WPRO,MIDDLE,,2.95,2,2.15,2,5.16,3,5.08,3,3.86,2,0.4281,4,0.0226,2,0.0967,2,0.1132,2,,,0.0826,5,0.0653,4,0.1658,5,0.1793,5,0.126,5
United Republic of Tanzania,TZA,AFRO,LOW,0.531,4.4,3,5.63,3,4.4,3,5.23,3,3.43,2,0.1868,3,0.1525,2,0.1289,2,0.1085,2,0.1803,3,0.142,5,0.2052,5,0.1828,5,0.2443,5,0.1741,5
Uganda,UGA,AFRO,LOW,0.493,2.44,2,2.11,2,2.17,2,2,2,1.66,1,0.4,4,0.35,4,0.25,3,0.2933,3,0.44,4,0.1147,5,0.1045,5,0.1169,5,0.1159,5,0.107,5
Ukraine,UKR,EURO,MIDDLE,0.743,2.25,2,2.12,2,2.06,2,1.79,1,1.02,1,0.5793,5,0.6436,6,0.5033,5,0.5356,5,0.3218,4,0.0262,2,0.0243,2,0.0242,2,0.0232,2,0.0116,1
Uruguay,URY,PAHO,HIGH,0.795,5.01,3,4.19,3,4.6,3,4.89,3,3.49,2,0.4747,5,0.4872,5,0.5067,5,0.5429,5,0.4779,5,0.0237,2,0.0202,2,0.0247,2,0.0294,2,0.0238,2
United States of America,USA,PAHO,HIGH,0.92,6.43,4,6.23,4,6.07,4,5.72,3,4.58,3,0.3781,4,0.3738,4,0.3773,4,0.3986,4,0.3155,4,0.0112,1,0.0114,1,0.0118,1,0.0118,1,0.0095,1
Uzbekistan,UZB,EURO,MIDDLE,0.701,3.1,2,2.6,2,2.51,2,2.09,2,1.82,1,0.192,3,0.1586,2,0.1263,2,0.1302,2,0.1487,2,0.0474,3,0.0461,3,0.0523,3,0.0507,3,0.0511,3
St. Vincent and the Grenadines,VCT,PAHO,MIDDLE,0.722,3.6,2,3.01,2,3.57,2,3.1,2,3.11,2,0.0765,2,0.0372,2,0.0291,2,0.0295,2,0.0311,2,0.0316,2,0.028,2,0.0352,3,0.0321,2,0.0314,2
Venezuela ,VEN,PAHO,MIDDLE,0.767,22.12,6,16.1,6,9.87,5,7.4,4,6.07,4,0.6757,6,0.6757,6,0.6757,6,0.6757,6,0.6816,6,0.154,5,0.0897,5,0.0539,3,0.0449,3,0.0347,2
Viet Nam,VNM,WPRO,MIDDLE,0.683,2.61,2,2.44,2,2.05,2,2.48,2,2.27,2,0.287,3,0.2535,3,0.2535,3,0.2535,3,0.2535,3,0.0411,3,0.0432,3,0.041,3,0.0564,4,0.0579,4
Vanuatu,VUT,WPRO,MIDDLE,0.597,6.09,4,6.23,4,6.13,4,5.69,3,5.75,3,0.4444,4,0.4444,4,0.4571,4,0.1225,2,0.125,2,0.2315,5,0.239,5,0.2425,5,0.2305,5,0.238,5
Samoa,WSM,WPRO,MIDDLE,0.704,5.96,3,4.96,3,4.43,3,4.26,3,4.22,3,0.3854,4,0.4232,4,0.4674,5,0.4825,5,0.4949,5,0.1091,5,0.0976,5,0.0881,5,0.0918,5,0.0844,5
Yemen,YEM,EMRO,MIDDLE,0.482,3.16,2,3.14,2,3.17,2,2.75,2,2.53,2,0.0514,2,0.0643,2,0.052,2,0.0611,2,0.0733,2,0.1333,5,0.0828,5,0.0853,5,0.0647,4,0.0641,4
S. Africa,ZAF,AFRO,MIDDLE,0.666,5.68,3,5.91,3,6.26,4,4.81,3,4.65,3,0.4012,4,0.3652,4,0.334,4,0.4065,4,0.3591,4,0.0426,3,0.0451,3,0.0499,3,0.0408,3,0.0397,3
Zambia,ZMB,AFRO,MIDDLE,0.579,4.81,3,3.23,2,1.81,1,2.09,2,1.72,1,0.2353,3,0.2,3,0.225,3,0.225,3,0.3273,4,0.1292,5,0.0847,5,0.0901,5,0.1145,5,0.1075,5
Zimbabwe,ZWE,AFRO,LOW,0.516,3.49,2,2.51,2,1.96,1,1.01,1,1.05,1,0.2286,3,0.2308,3,0.2,3,0.3865,4,0.3429,4,0.179,5,0.1262,5,0.1047,5,0.0653,4,0.0815,5
Lichtenstein,LIE,,HIGH,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
