COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,2016 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2016 price key,2014 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2014 price key,2012 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2012 price key,2010 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2010 price key,2008 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2008 price key,2016 total excise tax as a % of price of the most sold brand,2016 tax key,2014 total excise tax as a % of price of the most sold brand,2014 tax key,2012 total excise tax as a % of price of the most sold brand,2012 tax key,2010 total excise tax as a % of price of the most sold brand,2010 tax key,2008 total excise tax as a % of price of the most sold brand,2008 tax key,2016 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2016 afford key,2014 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2014 afford key,2012 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2012 afford key,2010 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2010 afford key,2008 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2008 afford key
Belize,BLZ,PAHO,MIDDLE,0.706,4.36,3,4.34,3,4.35,3,4.44,3,4.27,3,0.26,3,0,1,0,1,0.48,5,0.48,5,0.0539,3,0.0523,3,0.0541,3,0.0579,4,0.0588,4
Bolivia ,BOL,PAHO,MIDDLE,0.674,3.52,2,3.09,2,2.58,2,2.29,2,2.18,2,0.2785,3,0.2785,3,0.2785,3,0.2617,3,0.295,3,0.0502,3,0.0463,3,0.0438,3,0.0432,3,0.0437,3
Brazil,BRA,PAHO,MIDDLE,0.754,3.17,2,3.33,2,2.73,2,2.34,2,1.98,1,0.3198,4,0.2897,3,0.2718,3,0.2338,3,0.2579,3,0.0205,2,0.0202,2,0.0176,2,0.0164,2,0.0148,1
Barbados,BRB,PAHO,HIGH,0.795,8.06,5,7.27,4,5.75,3,5.2,3,5.13,3,0.2507,3,0.2715,3,0.333,4,0.3418,4,0.3418,4,0.0458,3,0.0444,3,0.0362,3,0.0342,2,0.033,2
Brunei Dar.,BRN,WPRO,HIGH,0.865,,,,,10.38,6,3.68,2,2.95,2,,,,,0.6757,6,0.5357,5,0.5357,5,,,,,,,,,,
Bhutan,BTN,SEARO,MIDDLE,0.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,AFRO,MIDDLE,0.698,8.83,5,6.65,4,6.6,4,4.95,3,5.88,3,0.39,4,0.4467,4,0.3878,4,0.4632,5,0.3367,4,0.0439,3,0.0394,3,0.0459,3,0.0387,3,0.0458,3
Central African Rep.,CAF,AFRO,LOW,0.352,,,1.69,1,,,1.22,1,1.21,1,,,0.1681,3,,,0.1681,3,0.1681,3,,,0.2792,5,,,0.138,5,0.1412,5
Canada,CAN,PAHO,HIGH,0.92,8.54,5,7.49,4,6.87,4,7.07,4,6.31,4,0.5724,5,0.6093,5,0.5561,5,0.5335,5,0.5879,5,0.0184,2,0.0165,2,0.0162,2,0.0177,2,0.0158,2
Switz.,CHE,EURO,HIGH,0.939,6.49,4,6.2,4,5.59,3,4.9,3,4.44,3,0.5345,5,0.5379,5,0.5476,5,0.5611999999999999,5,0.5579000000000001,5,0.0109,1,0.0106,1,0.0101,1,0.0093,1,0.0084,1
Chile,CHL,PAHO,HIGH,0.847,5.75,3,4.73,3,4.75,3,3.46,2,3.46,2,0.7316,6,0.6688999999999999,6,0.6558,6,0.604,5,0.604,5,0.0237,2,0.0204,2,0.022,2,0.0182,2,0.0191,2
China,CHN,WPRO,MIDDLE,0.738,2.84,2,2.81,2,2.82,2,1.51,1,1.57,1,0.363,4,0.299,3,0.298,3,0.31020000000000003,4,0.2288,3,0.0186,2,0.0211,2,0.025,2,0.0163,2,0.0208,2
Côte d'Ivoire,CIV,AFRO,MIDDLE,0.474,3.42,2,3.02,2,3.05,2,3.08,2,3.26,2,0.1575,2,0.1518,2,0.1451,2,0.145,2,0.145,2,0.0925,5,0.0926,5,0.1124,5,0.1184,5,0.1278,5
Cameroon,CMR,AFRO,MIDDLE,0.518,2.14,2,2.15,2,2.18,2,2.22,2,2.32,2,0.0785,2,0.0669,2,0.0729,2,0.0687,2,0.0735,2,0.0681,4,0.0711,4,0.0794,5,0.0873,5,0.0928,5
Dem. Rep. of Congo,COD,AFRO,LOW,0.722,1.51,1,1.31,1,1.4,1,1.49,1,1.97,1,0.23099999999999998,3,0.2376,3,0.256,3,0.28459999999999996,3,0.2889,3,0.1603,5,0.179,5,0.2212,5,0.2638,5,0.371,5
Congo,COG,AFRO,MIDDLE,0.592,3.78,2,2.55,2,1.78,1,1.87,1,1.76,1,0.2092,3,0.2086,3,0.1548,2,0.1548,2,0.1548,2,0.0615,4,0.0368,3,0.0293,2,0.0318,2,0.04,3
Cook Islands,COK,WPRO,,,,,,,,,,,,,0.6359,6,0.52,5,0.62,6,0.3951,4,0.3951,4,,,0.1492,5,0.099,5,0.09,5,0.0958,5
Colombia,COL,PAHO,MIDDLE,0.727,2.19,2,2.09,2,1.93,1,1.69,1,1.68,1,0.35719999999999996,4,0.35650000000000004,4,0.3679,4,0.4032,4,0.238,3,0.0154,2,0.0156,2,0.0159,2,0.0157,2,0.0164,2
Comoros,COM,AFRO,LOW,0.498,3.44,2,2.35,2,2.39,2,2.47,2,2.64,2,0.2515,3,0.3773,4,0.3773,4,0.3768,4,0.2826,3,0.2252,5,0.1533,5,0.1603,5,0.1708,5,0.1825,5
Cape Verde,CPV,AFRO,MIDDLE,0.648,3.87,2,3.83,2,3.75,2,3.73,2,3.75,2,0.1238,2,0.1238,2,0.1238,2,0.1238,2,0.1238,2,0.0587,4,0.0604,4,0.0606,4,0.0633,4,0.0648,4
Costa Rica,CRI,PAHO,MIDDLE,0.776,4.37,3,4.29,3,3.68,2,2.36,2,2.54,2,0.5788,5,0.5826,5,0.6,5,0.4422,4,0.4422,4,0.0267,2,0.0281,2,0.0259,2,0.0185,2,0.0205,2
Cuba,CUB,PAHO,MIDDLE,0.775,,,,,,,,,,,0.7,6,0.7,6,0.7786,6,,,0.75,6,,,,,0.1086,5,,,0.13,5
Cyprus,CYP,EURO,HIGH,0.856,6.89,4,6.3,4,5.56,3,4.18,3,4.2,3,0.6019000000000001,5,0.615,6,0.6133,6,0.5904,5,0.5904,5,0.0199,2,0.0195,2,0.0166,2,0.012,1,0.0115,1
