areacode,area,value,iso3code,region,incomegroup,hdi2015
68,France,9450,FRA,EURO,HIGH,0.89700001
121,Lebanon,9344,LBN,EMRO,MIDDLE,0.76300001
272,Serbia,9341,SRB,EURO,MIDDLE,0.77600002
58,Ecuador,9190,ECU,PAHO,MIDDLE,0.73900002
98,Croatia,9164,HRV,EURO,HIGH,0.82700002
56,Dominican Republic,9163,DOM,PAHO,MIDDLE,0.722
114,Kenya,8991,KEN,AFRO,MIDDLE,0.55500001
107,CÃƒÂ´te d'Ivoire,8912,CIV,AFRO,MIDDLE,0.47400001
4,Algeria,8707,DZA,AFRO,MIDDLE,0.745
170,Peru,6492,PER,PAHO,MIDDLE,0.74000001
40,Chile,6362,CHL,PAHO,HIGH,0.847
32,Cameroon,6219,CMR,AFRO,MIDDLE,0.51800001
95,Honduras,5928,HND,PAHO,MIDDLE,0.625
169,Paraguay,5616,PRY,PAHO,MIDDLE,0.69300002
79,Germany,5580,DEU,EURO,HIGH,0.926
157,Nicaragua,5367,NIC,PAHO,MIDDLE,0.64499998
184,Rwanda,5192,RWA,AFRO,LOW,0.498
236,Venezuela (Bolivarian Republic of),5047,VEN,PAHO,MIDDLE,0.76700002
158,Niger,4849,NER,AFRO,LOW,0.35299999
159,Nigeria,4736,NGA,AFRO,MIDDLE,0.52700001
113,Kyrgyzstan,4374,KGZ,EURO,MIDDLE,0.66399997
250,Democratic Republic of the Congo,3887,COD,AFRO,LOW,0.722
38,Sri Lanka,3322,LKA,SEARO,MIDDLE,0.76599997
213,Turkmenistan,3191,TKM,EURO,MIDDLE,0.69199997
234,Uruguay,3150,URY,PAHO,HIGH,0.79500002
3,Albania,3000,ALB,EURO,MIDDLE,0.764
7,Angola,2964,AGO,AFRO,MIDDLE,0.53299999
52,Azerbaijan,2858,AZE,EURO,MIDDLE,0.759
166,Panama,2849,PAN,PAHO,MIDDLE,0.78799999
81,Ghana,2545,GHA,AFRO,MIDDLE,0.579
90,Guinea,2388,GIN,AFRO,LOW,0.414
149,Nepal,2329,NPL,SEARO,LOW,0.55800003
103,Iraq,2301,IRQ,EMRO,MIDDLE,0.64899999
112,Jordan,2265,JOR,EMRO,MIDDLE,0.74199998
238,Ethiopia,2256,ETH,AFRO,LOW,0.44800001
10,Australia,2242,AUS,WPRO,HIGH,0.93900001
217,Togo,1896,TGO,AFRO,LOW,0.48699999
80,Bosnia and Herzegovina,1812,BIH,EURO,MIDDLE,0.75
60,El Salvador,1741,SLV,PAHO,LOW,0.68000001
129,Madagascar,1698,MDG,AFRO,LOW,0.51200002
109,Jamaica,1605,JAM,PAHO,MIDDLE,0.73000002
108,Kazakhstan,1603,KAZ,EURO,MIDDLE,0.79400003
222,Tunisia,1444,TUN,EMRO,MIDDLE,0.72500002
183,Romania,1405,ROU,EURO,MIDDLE,0.80199999
146,Republic of Moldova,1396,MDA,EURO,MIDDLE,0.699
29,Burundi,1371,BDI,AFRO,LOW,0.40400001
124,Libya,1315,LBY,EMRO,MIDDLE,0.71600002
143,Morocco,1282,MAR,EMRO,MIDDLE,0.64700001
1,Armenia,1253,ARM,EURO,MIDDLE,0.74299997
133,Mali,1242,MLI,AFRO,LOW,0.442
221,Oman,1168,OMN,EMRO,HIGH,0.796
211,Switzerland,997,CHE,EURO,HIGH,0.93900001
233,Burkina Faso,896,BFA,AFRO,LOW,0.40200001
19,Bolivia (Plurinational State of),826,BOL,PAHO,MIDDLE,0.67400002
93,Haiti,568,HTI,PAHO,LOW,0.493
208,Tajikistan,550,TJK,EURO,MIDDLE,0.62699997
37,Central African Republic,514,CAF,AFRO,LOW,0.352
46,Congo,470,COG,AFRO,MIDDLE,0.59200001
66,Fiji,453,FJI,WPRO,MIDDLE,0.736
73,Georgia,361,GEO,EURO,MIDDLE,0.76899999
225,United Arab Emirates,311,ARE,EMRO,HIGH,0.83999997
174,Portugal,228,PRT,EURO,HIGH,0.84299999
220,Trinidad and Tobago,216,TTO,PAHO,HIGH,0.77999997
244,Samoa,212,WSM,WPRO,MIDDLE,0.704
273,Montenegro,184,MNE,EURO,MIDDLE,0.80699998
255,Belgium,183,BEL,EURO,HIGH,0.89600003
39,Chad,182,TCD,AFRO,LOW,0.396
18,Bhutan,171,BTN,SEARO,MIDDLE,0.60699999
209,Swaziland,151,SWZ,AFRO,MIDDLE,0.54100001
11,Austria,144,AUT,EURO,HIGH,0.89300001
201,Somalia,139,SOM,EMRO,LOW,
50,Cyprus,119,CYP,EURO,HIGH,0.85600001
25,Solomon Islands,110,SLB,WPRO,MIDDLE,0.51499999
191,Saint Vincent and the Grenadines,105,VCT,PAHO,MIDDLE,0.722
91,Guyana,93,GUY,PAHO,MIDDLE,0.63800001
48,Costa Rica,60,CRI,PAHO,MIDDLE,0.77600002
230,Ukraine,50,UKR,EURO,MIDDLE,0.74299997
197,Sierra Leone,41,SLE,AFRO,LOW,0.41999999
53,Benin,5,BEN,AFRO,LOW,0.48500001
137,Mauritius,5,MUS,AFRO,MIDDLE,0.78100002
105,Israel,3,ISR,EURO,HIGH,0.89899999
199,Slovakia,3,SVK,EURO,HIGH,0.84500003
156,New Zealand,0,NZL,WPRO,HIGH,0.91500002
185,Russian Federation,0,RUS,EURO,MIDDLE,0.80400002
200,Singapore,0,SGP,WPRO,HIGH,0.92500001
195,Senegal,,SEN,AFRO,LOW,0.49399999
210,Sweden,,SWE,EURO,HIGH,0.91299999
176,Timor-Leste,,TLS,SEARO,MIDDLE,0.60600001
