COUNTRY,ISO3CODE,REGION,INCOME GROUP,2015 HDI,CESSATION INDEX,Officially identified person in government or contracted by government  who is responsible for tobacco dependence treatment,Clearly identified budget for tobacco dependence treatment,Official national tobacco treatment guidelines,Mass media campaigns promoting cessation,Offers help to healthcare workers and other relevant groups to stop using tobacco ,Mandatory record of patients’ tobacco use in medical notes,"Free, national telephone tobacco quitline",Specialised tobacco dependence treatment services (experts or units/clinics) offering individual or group support delivered by trained professionals,Nilan et al Data Total,Key Code
Germany,DEU,EURO,HIGH,0.926,4,0,0,1,1,0,0,1,0.5,3.5,2
Ghana,GHA,AFRO,MIDDLE,0.579,4,0,0,0,0,0,0,0,0.5,0.5,1
Greece,GRC,EURO,HIGH,0.866,4,0,0,0,1,1,1,0.5,0.5,4,2
Grenada,GRD,PAHO,MIDDLE,0.754,4,0,0,0,0,1,0,0,0,1,1
Guatemala,GTM,PAHO,MIDDLE,0.64,4,0,0,0,0,0,0,0,0.5,0.5,1
Guinea,GIN,AFRO,LOW,0.414,3,1,0,0,0,0,0,0,0,1,1
Guinea-Bissau,GNB,AFRO,LOW,0.424,3,,,,,,,,,,
Guyana,GUY,PAHO,MIDDLE,0.638,4,0,0,0,0,0,1,0,0,1,1
Haiti,HTI,PAHO,LOW,0.493,2,,,,,,,,,,
Honduras,HND,PAHO,MIDDLE,0.625,4,1,1,0,0,0,0,0,0.5,2.5,2
Hungary,HUN,EURO,HIGH,0.836,4,1,1,1,1,1,1,0.5,1,7.5,4
Iceland,ISL,EURO,HIGH,0.921,3,,,,,,,,,,
India,IND,SEARO,MIDDLE,0.624,5,0,1,1,1,1,0,0.5,0.5,5,3
Indonesia,IDN,SEARO,MIDDLE,0.689,3,,,,,,,,,,
Isl. Rep. of Iran,IRN,EMRO,MIDDLE,0.774,5,1,0,1,1,1,0,0,0.5,4.5,3
Iraq,IRQ,EMRO,MIDDLE,0.649,4,,,,,,,,,,
Ireland,IRL,EURO,HIGH,0.923,5,1,0,0,1,1,0,0.5,1,4.5,3
Israel,ISR,EURO,HIGH,0.899,5,1,1,1,0,1,1,0.5,1,6.5,4
Italy,ITA,EURO,HIGH,0.887,4,0,0,1,0,0,0,0.5,1,2.5,2
Jamaica,JAM,PAHO,MIDDLE,0.73,5,1,0,1,1,0,0,1,1,5,3
Japan,JPN,WPRO,HIGH,0.903,4,1,0,0,0,0,0,0.5,1,2.5,2
