year,income_cat,tonnes,category description
1996,1,462977,Low-HDI
1996,2,1108831,Medium-HDI
1996,3,1075291,High-HDI (excl. China)
1996,4,1431256,Very high-HDI
1996,9,3234000,China
1997,1,497995,Low-HDI
1997,2,1238448,Medium-HDI
1997,3,1319353,High-HDI (excl. China)
1997,4,1582339,Very high-HDI
1997,9,4251000,China
1998,1,536986,Low-HDI
1998,2,1282077,Medium-HDI
1998,3,1225520,High-HDI (excl. China)
1998,4,1439973,Very high-HDI
1998,9,2364006,China
1999,1,437626,Low-HDI
1999,2,1339130,Medium-HDI
1999,3,1289055,High-HDI (excl. China)
1999,4,1357985,Very high-HDI
1999,9,2469000,China
2000,1,484731,Low-HDI
2000,2,1214531,Medium-HDI
2000,3,1178893,High-HDI (excl. China)
2000,4,1212039,Very high-HDI
2000,9,2552344,China
2001,1,393692,Low-HDI
2001,2,998166,Medium-HDI
2001,3,1130684,High-HDI (excl. China)
2001,4,1153410,Very high-HDI
2001,9,2349627,China
2002,1,384789,Low-HDI
2002,2,1184631,Medium-HDI
2002,3,1224481,High-HDI (excl. China)
2002,4,1107724,Very high-HDI
2002,9,2446527,China
2003,1,377586,Low-HDI
2003,2,1119772,Medium-HDI
2003,3,1147260,High-HDI (excl. China)
2003,4,1027957,Very high-HDI
2003,9,2257415,China
2004,1,394574,Low-HDI
2004,2,1151640,Medium-HDI
2004,3,1430092,High-HDI (excl. China)
2004,4,1098734,Very high-HDI
2004,9,2406000,China
2005,1,418179,Low-HDI
2005,2,1186872,Medium-HDI
2005,3,1395269,High-HDI (excl. China)
2005,4,973532,Very high-HDI
2005,9,2683000,China
2006,1,389434,Low-HDI
2006,2,1183292,Medium-HDI
2006,3,1334790,High-HDI (excl. China)
2006,4,863562,Very high-HDI
2006,9,2744000,China
2007,1,465989,Low-HDI
2007,2,1097844,Medium-HDI
2007,3,1287066,High-HDI (excl. China)
2007,4,866961,Very high-HDI
2007,9,2395480,China
2008,1,506516,Low-HDI
2008,2,1123868,Medium-HDI
2008,3,1244635,High-HDI (excl. China)
2008,4,852735,Very high-HDI
2008,9,2838222,China
2009,1,565376,Low-HDI
2009,2,1272894,Medium-HDI
2009,3,1248107,High-HDI (excl. China)
2009,4,875688,Very high-HDI
2009,9,3066000,China
2010,1,529548,Low-HDI
2010,2,1379513,Medium-HDI
2010,3,1128572,High-HDI (excl. China)
2010,4,795009,Very high-HDI
2010,9,3004000,China
2011,1,615301,Low-HDI
2011,2,1607943,Medium-HDI
2011,3,1304295,High-HDI (excl. China)
2011,4,716080,Very high-HDI
2011,9,3157000,China
2012,1,449211,Low-HDI
2012,2,1688609,Medium-HDI
2012,3,1181215,High-HDI (excl. China)
2012,4,731897,Very high-HDI
2012,9,3406500,China
2013,1,481828,Low-HDI
2013,2,1635928,Medium-HDI
2013,3,1269165,High-HDI (excl. China)
2013,4,704806,Very high-HDI
2013,9,3373700,China
2014,1,490665,Low-HDI
2014,2,1556194,Medium-HDI
2014,3,1261043,High-HDI (excl. China)
2014,4,790464,Very high-HDI
2014,9,2995400,China
