COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,"PRICE OF A 20-CIGARETTE PACK OF THE MOST-SOLD BRAND, US DOLLARS (adjusted for purchasing power of national currencies)"
Isl. Rep. of Iran,IRN,EMRO,MIDDLE,0.774,2.03
Iraq,IRQ,EMRO,MIDDLE,0.649,3.23
Iceland,ISL,EURO,HIGH,0.921,8.57
Israel,ISR,EURO,HIGH,0.899,8.84
Italy,ITA,EURO,HIGH,0.887,6.96
Jamaica,JAM,PAHO,MIDDLE,0.73,14.3
Jordan,JOR,EMRO,MIDDLE,0.742,4.31
Japan,JPN,WPRO,HIGH,0.903,4.3
Kazakhstan,KAZ,EURO,MIDDLE,0.794,2.96
Kenya,KEN,AFRO,MIDDLE,0.555,2.82
Kyrgyzstan,KGZ,EURO,MIDDLE,0.664,2.6
Cambodia,KHM,WPRO,MIDDLE,0.563,1.44
Kiribati,KIR,WPRO,MIDDLE,0.588,5.69
St. Kitts and Nevis,KNA,PAHO,HIGH,0.765,4.43
Rep. Korea,KOR,WPRO,HIGH,0.901,5.38
Kuwait,KWT,EMRO,HIGH,0.8,6.76
LAO PDR,LAO,WPRO,MIDDLE,0.586,2.54
Lebanon,LBN,EMRO,MIDDLE,0.763,3.54
Liberia,LBR,AFRO,LOW,0.427,. . .
Libyan Arab Jamahiriya,LBY,EMRO,MIDDLE,0.716,3.3
St. Lucia,LCA,PAHO,MIDDLE,0.735,4.83
Lichtenstein,LIE,,HIGH,0.912,
Sri Lanka,LKA,SEARO,MIDDLE,0.766,19.58
Lesotho,LSO,AFRO,MIDDLE,0.497,. . .
Lithuania,LTU,EURO,HIGH,0.848,6.94
Lux. ,LUX,EURO,HIGH,0.898,5.59
Latvia,LVA,EURO,HIGH,0.83,6.1
Morocco,MAR,EMRO,MIDDLE,0.647,5.7
Monaco,MCO,EURO,HIGH,,. . .
Rep. Moldova,MDA,EURO,MIDDLE,0.699,2.79
Madagascar,MDG,AFRO,LOW,0.512,4.72
Maldives,MDV,SEARO,MIDDLE,0.701,5.05
Mexico,MEX,PAHO,MIDDLE,0.762,5.67
Marshall Islands,MHL,WPRO,MIDDLE,,2.39
FYR Macedonia,MKD,EURO,MIDDLE,0.748,3.45
Mali,MLI,AFRO,LOW,0.442,3.67
Malta,MLT,EURO,HIGH,0.856,9.23
Myanmar,MMR,SEARO,MIDDLE,0.556,3.05
Montenegro,MNE,EURO,MIDDLE,0.807,4.74
Mongolia,MNG,WPRO,MIDDLE,0.735,5.19
Mozambique,MOZ,AFRO,LOW,0.418,1.8
Mauritania,MRT,AFRO,MIDDLE,0.513,5.1
Mauritius,MUS,AFRO,MIDDLE,0.781,7.86
Malawi,MWI,AFRO,LOW,0.476,. . .
Malaysia,MYS,WPRO,MIDDLE,0.789,11.82
