year,FCTC Compliant GHW,POS AdBan,Internet AdBan
2007,0.0558644736006266,0.10977160813444158,0.40427942194397826
2010,0.11659460407863026,0.138823959809725,0.4503112847216346
2012,0.1697267023242569,0.20099919984036188,0.4853573973561365
2014,0.21021021135613094,0.2476813544585438,0.533111605721275
2016,0.5028784957361861,0.2892702736505152,0.7617433862345054
