areacode,area,value,iso3code,region,incomegroup,hdi2015,Key Code
19,Bolivia (Plurinational State of),826,BOL,PAHO,MIDDLE,0.67400002,1
93,Haiti,568,HTI,PAHO,LOW,0.493,1
208,Tajikistan,550,TJK,EURO,MIDDLE,0.62699997,1
37,Central African Republic,514,CAF,AFRO,LOW,0.352,1
46,Congo,470,COG,AFRO,MIDDLE,0.59200001,1
66,Fiji,453,FJI,WPRO,MIDDLE,0.736,1
73,Georgia,361,GEO,EURO,MIDDLE,0.76899999,1
225,United Arab Emirates,311,ARE,EMRO,HIGH,0.83999997,1
174,Portugal,228,PRT,EURO,HIGH,0.84299999,1
220,Trinidad and Tobago,216,TTO,PAHO,HIGH,0.77999997,1
244,Samoa,212,WSM,WPRO,MIDDLE,0.704,1
273,Montenegro,184,MNE,EURO,MIDDLE,0.80699998,1
255,Belgium,183,BEL,EURO,HIGH,0.89600003,1
39,Chad,182,TCD,AFRO,LOW,0.396,1
18,Bhutan,171,BTN,SEARO,MIDDLE,0.60699999,1
209,Swaziland,151,SWZ,AFRO,MIDDLE,0.54100001,1
11,Austria,144,AUT,EURO,HIGH,0.89300001,1
201,Somalia,139,SOM,EMRO,LOW,,1
50,Cyprus,119,CYP,EURO,HIGH,0.85600001,1
25,Solomon Islands,110,SLB,WPRO,MIDDLE,0.51499999,1
191,Saint Vincent and the Grenadines,105,VCT,PAHO,MIDDLE,0.722,1
91,Guyana,93,GUY,PAHO,MIDDLE,0.63800001,1
48,Costa Rica,60,CRI,PAHO,MIDDLE,0.77600002,1
230,Ukraine,50,UKR,EURO,MIDDLE,0.74299997,1
197,Sierra Leone,41,SLE,AFRO,LOW,0.41999999,1
53,Benin,5,BEN,AFRO,LOW,0.48500001,1
137,Mauritius,5,MUS,AFRO,MIDDLE,0.78100002,1
105,Israel,3,ISR,EURO,HIGH,0.89899999,1
199,Slovakia,3,SVK,EURO,HIGH,0.84500003,1
156,New Zealand,0,NZL,WPRO,HIGH,0.91500002,1
185,Russian Federation,0,RUS,EURO,MIDDLE,0.80400002,1
200,Singapore,0,SGP,WPRO,HIGH,0.92500001,1
195,Senegal,,SEN,AFRO,LOW,0.49399999,1
210,Sweden,,SWE,EURO,HIGH,0.91299999,1
176,Timor-Leste,,TLS,SEARO,MIDDLE,0.60600001,1
