COUNTRY,ISO3,REGION,INCOME GROUP,2015 HDI,"PRICE OF A 20-CIGARETTE PACK OF THE MOST-SOLD BRAND, US DOLLARS (adjusted for purchasing power of national currencies)",Key Code,Symbol
Lebanon,LBN,EMRO,MIDDLE,0.763,3.54,2,
Liberia,LBR,AFRO,LOW,0.427,,,
Libyan Arab Jamahiriya,LBY,EMRO,MIDDLE,0.716,3.3,2,1
St. Lucia,LCA,PAHO,MIDDLE,0.735,4.83,3,
Lichtenstein,LIE,,HIGH,0.912,,,
Sri Lanka,LKA,SEARO,MIDDLE,0.766,19.58,6,
Lesotho,LSO,AFRO,MIDDLE,0.497,,,
Lithuania,LTU,EURO,HIGH,0.848,6.94,4,
Lux. ,LUX,EURO,HIGH,0.898,5.59,3,1
Latvia,LVA,EURO,HIGH,0.83,6.1,4,
Morocco,MAR,EMRO,MIDDLE,0.647,5.7,3,
Monaco,MCO,EURO,HIGH,,,,
Rep. Moldova,MDA,EURO,MIDDLE,0.699,2.79,2,1
Madagascar,MDG,AFRO,LOW,0.512,4.72,3,1
Maldives,MDV,SEARO,MIDDLE,0.701,5.05,3,1
Mexico,MEX,PAHO,MIDDLE,0.762,5.67,3,1
Marshall Islands,MHL,WPRO,MIDDLE,,2.39,2,
FYR Macedonia,MKD,EURO,MIDDLE,0.748,3.45,2,
Mali,MLI,AFRO,LOW,0.442,3.67,2,
Malta,MLT,EURO,HIGH,0.856,9.23,5,
Myanmar,MMR,SEARO,MIDDLE,0.556,3.05,2,
Montenegro,MNE,EURO,MIDDLE,0.807,4.74,3,1
Mongolia,MNG,WPRO,MIDDLE,0.735,5.19,3,1
Mozambique,MOZ,AFRO,LOW,0.418,1.8,1,1
Mauritania,MRT,AFRO,MIDDLE,0.513,5.1,3,
Mauritius,MUS,AFRO,MIDDLE,0.781,7.86,4,1
Malawi,MWI,AFRO,LOW,0.476,,,
Malaysia,MYS,WPRO,MIDDLE,0.789,11.82,6,
Namibia,NAM,AFRO,HIGH,0.64,7.3,4,
Niger,NER,AFRO,LOW,0.353,2.27,2,
Nigeria,NGA,AFRO,MIDDLE,0.527,2.26,2,
Nicaragua,NIC,PAHO,MIDDLE,0.645,4.36,3,
Niue,NIU,WPRO,,,,,
Netherlands,NLD,EURO,HIGH,0.924,8.33,5,1
Norway,NOR,EURO,HIGH,0.949,12.46,6,1
Nepal,NPL,SEARO,LOW,0.558,5.73,3,
Nauru,NRU,WPRO,HIGH,,11.82,6,
New Zealand,NZL,WPRO,HIGH,0.915,14.69,6,1
Oman,OMN,EMRO,HIGH,0.796,7.52,4,1
Pakistan,PAK,EMRO,MIDDLE,0.55,2.24,2,1
Panama,PAN,PAHO,MIDDLE,0.788,7.17,4,
Peru,PER,PAHO,MIDDLE,0.74,6.63,4,
Philippines,PHL,WPRO,MIDDLE,0.682,2.25,2,1
Palau,PLW,WPRO,MIDDLE,0.788,6.28,4,
Papua New Guinea,PNG,WPRO,MIDDLE,0.516,9.81,5,1
Poland,POL,EURO,HIGH,0.855,8.37,5,1
DPR Korea,PRK,SEARO,LOW,,,,
Portugal,PRT,EURO,HIGH,0.843,7.73,4,1
Paraguay,PRY,PAHO,MIDDLE,0.693,0.83,1,
West Bank/Gaza Strip,PSE,,MIDDLE,,,,
Qatar,QAT,EMRO,HIGH,0.856,5.87,3,1
Romania,ROU,EURO,MIDDLE,0.802,9.37,5,1
Russian Federation,RUS,EURO,MIDDLE,0.804,4.6,3,1
Rwanda,RWA,AFRO,LOW,0.498,1.36,1,
Saudi Arabia,SAU,EMRO,HIGH,0.847,8.69,5,1
Sudan,SDN,EMRO,MIDDLE,0.49,6.14,4,
Senegal,SEN,AFRO,LOW,0.494,2.27,2,
Singapore,SGP,WPRO,HIGH,0.925,15.66,6,
Solomon Islands,SLB,WPRO,MIDDLE,0.515,3.94,2,
Sierra Leone,SLE,AFRO,LOW,0.42,1.44,1,
El Salvador,SLV,PAHO,LOW,0.68,4.12,3,
San Marino,SMR,EURO,HIGH,,6.67,4,1
Somalia,SOM,EMRO,LOW,,,,
Serbia ,SRB,EURO,MIDDLE,0.776,5.38,3,1
S. Sudan,SSD,EMRO,LOW,0.418,7.95,4,
Sao Tome and Principe,STP,AFRO,MIDDLE,0.574,1.79,1,
Suriname,SUR,PAHO,MIDDLE,0.725,5.54,3,1
Slovakia,SVK,EURO,HIGH,0.845,6.49,4,1
Slovenia,SVN,EURO,HIGH,0.89,5.85,3,1
Sweden,SWE,EURO,HIGH,0.913,7.21,4,1
Swaziland,SWZ,AFRO,MIDDLE,0.541,7.26,4,
Seychelles,SYC,AFRO,HIGH,0.782,14.49,6,
Syrian Arab Rep. ,SYR,EMRO,MIDDLE,0.536,,,
Chad,TCD,AFRO,LOW,0.396,3.72,2,
Togo,TGO,AFRO,LOW,0.487,2.19,2,
Thailand,THA,SEARO,MIDDLE,0.74,7.08,4,
Tajikistan,TJK,EURO,MIDDLE,0.627,2.69,2,
Turkmenistan,TKM,EURO,MIDDLE,0.692,14.06,6,1
Timor-Leste,TLS,SEARO,MIDDLE,0.606,2.98,2,
Tonga,TON,WPRO,MIDDLE,0.721,7.46,4,
Trinidad and Tobago,TTO,PAHO,HIGH,0.78,7.48,4,1
Tunisia,TUN,EMRO,MIDDLE,0.725,3.67,2,
Turkey,TUR,EURO,MIDDLE,0.767,10.26,6,1
Tuvalu,TUV,WPRO,MIDDLE,,2.95,2,
United Republic of Tanzania,TZA,AFRO,LOW,0.531,4.4,3,
Uganda,UGA,AFRO,LOW,0.493,2.44,2,
Ukraine,UKR,EURO,MIDDLE,0.743,2.25,2,1
Uruguay,URY,PAHO,HIGH,0.795,5.01,3,
United States of America,USA,PAHO,HIGH,0.92,6.43,4,
Uzbekistan,UZB,EURO,MIDDLE,0.701,3.1,2,
St. Vincent and the Grenadines,VCT,PAHO,MIDDLE,0.722,3.6,2,
Venezuela ,VEN,PAHO,MIDDLE,0.767,22.12,6,1
Viet Nam,VNM,WPRO,MIDDLE,0.683,2.61,2,
Vanuatu,VUT,WPRO,MIDDLE,0.597,6.09,4,
Samoa,WSM,WPRO,MIDDLE,0.704,5.96,3,1
Yemen,YEM,EMRO,MIDDLE,0.482,3.16,2,1
S. Africa,ZAF,AFRO,MIDDLE,0.666,5.68,3,
Zambia,ZMB,AFRO,MIDDLE,0.579,4.81,3,
Zimbabwe,ZWE,AFRO,LOW,0.516,3.49,2,1
