Country,ISO3,Male-% Tobacco-related Deaths,Male-KeyCode,Male-No. Tobacco-related Deaths,,Female-% Tobacco-related Deaths,Female-KeyCode,Female-No. Tobacco-related Deaths
Ukraine,UKR,24.1,5,78872,,5.2,2,17616
Uruguay,URY,22.1,5,3711,,8.6,2,1406
United States of America,USA,19.3,4,270802,,16.2,4,221636
Uzbekistan,UZB,13,3,14417,,4.6000000000000005,1,4272
St. Vincent and the Grenadines,VCT,9.200000000000001,2,47,,4,1,16
Venezuela,VEN,11.100000000000001,3,10838,,10.100000000000001,3,6458
Viet Nam,VNM,26.1,6,88793,,14.100000000000001,3,45561
Vanuatu,VUT,17.8,4,225,,7.300000000000001,2,77
Samoa,WSM,18.2,4,113,,9.9,2,57
Yemen,YEM,10,3,8749,,7.7,2,5750
South Africa,ZAF,10.100000000000001,3,28658,,5.4,2,13523
Zambia,ZMB,6.6000000000000005,2,5575,,3.6,1,2372
Zimbabwe,ZWE,7.800000000000001,2,6101,,3.4000000000000004,1,2271
