areacode,area,value,iso3code,region,incomegroup,hdi2015,Key Code,Tooltip
50,Cyprus,119,CYP,EURO,HIGH,0.85600001,1,119 acres harvested
25,Solomon Islands,110,SLB,WPRO,MIDDLE,0.51499999,1,110 acres harvested
191,Saint Vincent and the Grenadines,105,VCT,PAHO,MIDDLE,0.722,1,105 acres harvested
91,Guyana,93,GUY,PAHO,MIDDLE,0.63800001,1,93 acres harvested
48,Costa Rica,60,CRI,PAHO,MIDDLE,0.77600002,1,60 acres harvested
230,Ukraine,50,UKR,EURO,MIDDLE,0.74299997,1,50 acres harvested
197,Sierra Leone,41,SLE,AFRO,LOW,0.41999999,1,41 acres harvested
53,Benin,5,BEN,AFRO,LOW,0.48500001,1,5 acres harvested
137,Mauritius,5,MUS,AFRO,MIDDLE,0.78100002,1,5 acres harvested
105,Israel,3,ISR,EURO,HIGH,0.89899999,1,3 acres harvested
199,Slovakia,3,SVK,EURO,HIGH,0.84500003,1,3 acres harvested
156,New Zealand,0,NZL,WPRO,HIGH,0.91500002,1,
185,Russian Federation,0,RUS,EURO,MIDDLE,0.80400002,1,
200,Singapore,0,SGP,WPRO,HIGH,0.92500001,1,
195,Senegal,,SEN,AFRO,LOW,0.49399999,1,
210,Sweden,,SWE,EURO,HIGH,0.91299999,1,
176,Timor-Leste,,TLS,SEARO,MIDDLE,0.60600001,1,
