Gender,HDI Category,Value
Male,Low,4.09548793108921
Male,Medium,32.5936780377315
Male,High,44.4698151818213
Male,Very High,18.841018849358
Female,Low,3.23859908901275
Female,Medium,19.2686104813623
Female,High,26.1280915106606
Female,Very High,51.3646989189644
